User_ID,Role,Region,Lead_Source,CRM_Action,Daily_Logins,Failed_Logins,Access_Hour,Device_Type,Data_Sensitivity,Policy_Compliance_Score,Anomaly_Score,Permission_Granted,Governance_Score,Access_Decision
1,Admin,North,Referral,ViewLead,6,1,10,Managed,5,76.19,0.114,True,51.81,Block
2,Sales Rep,West,Web,ViewLead,5,1,12,Managed,5,62.87,0.464,True,38.4,Block
3,Sales Rep,South,Partner,EditLead,6,1,20,Managed,1,81.87,0.083,False,48.57,Block
4,Analyst,South,Campaign,ViewLead,10,0,10,Managed,3,85.89,0.181,True,57.53,Block
5,Sales Rep,West,Web,EditLead,6,2,17,Managed,1,92.31,0.309,False,44.58,Block
6,Analyst,North,Campaign,ViewLead,5,1,15,BYOD,5,75.77,0.207,True,49.33,Block
7,Support,East,Partner,ViewLead,6,0,8,Managed,2,82.87,0.111,True,59.22,Review
8,Analyst,North,Email,CreateOpportunity,4,0,18,Managed,3,82.19,0.268,True,54.07,Block
9,Sales Rep,East,Email,ExportCRM,7,2,8,Managed,2,55.45,0.242,False,32.36,Block
10,Manager,South,Email,EditLead,8,0,14,BYOD,5,73.98,0.296,True,48.48,Block
11,Sales Rep,East,Web,ViewLead,6,1,7,BYOD,4,89.91,0.137,True,57.03,Block
12,Sales Rep,South,Partner,CreateOpportunity,4,0,16,Managed,4,95.92,0.044,True,63.48,Review
13,Sales Rep,West,Email,ViewLead,5,2,13,Managed,5,92.44,0.378,True,48.91,Block
14,Sales Rep,West,Partner,EditLead,10,0,13,BYOD,2,83.85,0.241,False,46.31,Block
15,Manager,North,Web,CreateOpportunity,2,0,10,Managed,4,92.49,0.433,True,52.54,Block
16,Manager,West,Campaign,EditLead,7,0,20,Managed,5,89.87,0.154,True,57.62,Block
17,Support,North,Web,DeleteLead,7,1,14,Managed,3,79.77,0.274,False,41.06,Block
18,Sales Rep,West,Email,EditLead,7,2,14,BYOD,2,89.4,0.34,False,41.79,Block
19,Manager,North,Referral,CreateOpportunity,12,1,22,Managed,2,91.54,0.352,True,54.25,Block
20,Sales Rep,South,Partner,ApproveDiscount,4,0,22,BYOD,5,66.99,0.172,False,39.14,Block
